PRODUCT COLLECTION,PRODUCT ID,SIZE,FINISH,THICKNESS ,SQFT PER PIECE,PIECES PER BOX,SQFT PER BOX,U/M,PRICE / UOM,PRICE /  EACH,,Item Id,Web Link,Product Line,Material,Product Category,Item Description,Status,Source,Volume,Creation Date
ADARA INTERLOCKING,SMOT-GLSIL-ADARA8MM,PATTERN,MISC.,0.31 INCH,1,10,10,EACH,12.15,12.15,,SMOT-GLSIL-ADARA8MM,www.msisurfaces.com/glass-mosaics/adara-interlocking-8mm/,MD,GLASS,BACKSPLASH/WALL TILE/DECORATIVE MOSAICS,Adara Interlocking 8mm,MSI,Q1-2019 Price List,NEW,23-Feb-17
ADELLA CALACATTA 12X24 SATIN,NADECAL1224,12x24,MATTE,0.39 INCH,2,7,14,SQFT,2.69,5.38,,NADECAL1224,www.msisurfaces.com/ceramic-mosaics/adella-calacatta-12x24-satin/,PT,CERAMIC,BACKSPLASH/WALL TILE/DECORATIVE MOSAICS,ADELLA CALACATTA 12X24 SATIN,MSI,Q1-2019 Price List,NEW,20-Feb-17
ADELLA GRIS 12X24 SATIN,NADEGRI1224,12x24,MATTE,0.39 INCH,2,7,14,SQFT,2.69,5.38,,NADEGRI1224,www.msisurfaces.com/ceramic-mosaics/adella-gris-12x24-satin/,PT,CERAMIC,BACKSPLASH/WALL TILE/DECORATIVE MOSAICS,ADELLA GRIS 12X24 SATIN,MSI,Q1-2019 Price List,NEW,20-Feb-17
ADELLA VISO CALACATTA 12X24 SATIN,NADEVISCAL1224,12x24,MATTE,0.39 INCH,2,7,14,SQFT,2.69,5.38,,NADEVISCAL1224,www.msisurfaces.com/3d-large-format-wall-tile/adella-viso-calacatta-12x24-satin/,PT,CERAMIC,BACKSPLASH/WALL TILE/DECORATIVE MOSAICS,ADELLA VISO CALACATTA 12X24 SATIN,MSI,Q1-2019 Price List,NEW,20-Feb-17
ADELLA VISO GRIS 12X24 SATIN,NADEVISGRI1224,12x24,MATTE,0.39 INCH,2,7,14,SQFT,2.69,5.38,,NADEVISGRI1224,www.msisurfaces.com/3d-large-format-wall-tile/adella-viso-gris-12x24-satin/,PT,CERAMIC,BACKSPLASH/WALL TILE/DECORATIVE MOSAICS,ADELLA VISO GRIS 12X24 SATIN,MSI,Q1-2019 Price List,NEW,20-Feb-17
ADELLA VISO WHITE 12X24 SATIN,NADEVISWHI1224,12x24,MATTE,0.39 INCH,2,7,14,SQFT,2.69,5.38,,NADEVISWHI1224,www.msisurfaces.com/3d-large-format-wall-tile/adella-viso-white-12x24-satin/,PT,CERAMIC,BACKSPLASH/WALL TILE/DECORATIVE MOSAICS,ADELLA VISO WHITE 12X24 SATIN,MSI,Q1-2019 Price List,NEW,20-Feb-17
ADELLA WHITE 12X24 SATIN,NADEWHI1224,12x24,MATTE,0.39 INCH,2,7,14,SQFT,2.69,5.38,,NADEWHI1224,www.msisurfaces.com/ceramic-mosaics/adella-white-12x24-satin/,PT,CERAMIC,BACKSPLASH/WALL TILE/DECORATIVE MOSAICS,ADELLA WHITE 12X24 SATIN,MSI,Q1-2019 Price List,NEW,20-Feb-17
AKAYA COPPER INTERLOCKING,SMOT-GLSIL-AKACOP8MM,PATTERN,MISC.,0.31 INCH,0.98,10,9.8,EACH,12.15,12.15,,SMOT-GLSIL-AKACOP8MM,www.msisurfaces.com/glass-mosaics/akaya-copper-interlocking-8mm/,MD,GLASS,BACKSPLASH/WALL TILE/DECORATIVE MOSAICS,Akaya Copper Interlocking 8mm,MSI,Q1-2019 Price List,NEW,23-Feb-17
AKAYA NERO INTERLOCKING,SMOT-GLSIL-AKANER8MM,PATTERN,MISC.,0.31 INCH,0.98,10,9.8,EACH,12.15,12.15,,SMOT-GLSIL-AKANER8MM,www.msisurfaces.com/glass-mosaics/akaya-nero-interlocking-8mm/,MD,GLASS,BACKSPLASH/WALL TILE/DECORATIVE MOSAICS,Akaya Nero Interlocking 8mm,MSI,Q1-2019 Price List,NEW,23-Feb-17
AKOYA INTERLOCKING,SMOT-GLSIL-AKOYA8MM,PATTERN,MISC.,0.31 INCH,1,10,10,EACH,9.37,9.37,,SMOT-GLSIL-AKOYA8MM,www.msisurfaces.com/crystallized-glass-8mm/akoya-interlocking/,MD,MISC.,BACKSPLASH/WALL TILE/DECORATIVE MOSAICS,Akoya Interlocking Pattern 8mm,MSI,Q1-2019 Price List,NEW,14-Apr-14
