* Color Green highlighted items are launched in last 6 months,,,,,,,,,,,,,,,,,,,,,,,,
*Items highlighted in Orange will have a rolling change in pieces per box or boxes per pallet packaging in 2020.  These will be communicated as the old inventory depletes and the new inventory with new packaging arrives,,,,,,,,,,,,,,,,,,,,,,,,
PRODUCT COLLECTION,ItemNumber,SIZE,FINISH,THICKNESS ,SQFT PER PIECE,PIECES PER BOX,SQFT PER BOX,U/M,PRICE / UOM,PRICE /  EACH,,ItemNumber,Web Link,Product Line,Material,Product Category,PRODUCT COLLECTION,Description,Status,Source,Creation Date,Comments,,
BACKSPLASH/WALL TILE/DECORATIVE MOSAICS,,,,,,,,,,,,,,,,BACKSPLASH/WALL TILE/DECORATIVE MOSAICS,BACKSPLASH/WALL TILE/DECORATIVE MOSAICS,,MSI,,,,,
ADARA INTERLOCKING,SMOT-GLSIL-ADARA8MM,PATTERN,MISC.,0.31 INCH,1.00,10.00,10.00,EACH,12.15,12.15,,SMOT-GLSIL-ADARA8MM,https://www.msisurfaces.com/glass-mosaics/adara-interlocking-8mm/,MD,GLASS,BACKSPLASH/WALL TILE/DECORATIVE MOSAICS,ADARA INTERLOCKING,Adara Interlocking 8mm,MSI,2019 Price list,23-Feb-17,,,
ADELLA CALACATTA 12X24 SATIN,NADECAL1224,12x24,MATTE,0.39 INCH,2.00,7.00,14.00,SQFT,2.69,5.38,,NADECAL1224,https://www.msisurfaces.com/ceramic-mosaics/adella-calacatta-12x24-satin/,PT,CERAMIC,BACKSPLASH/WALL TILE/DECORATIVE MOSAICS,ADELLA CALACATTA 12X24 SATIN,ADELLA CALACATTA 12X24 SATIN MATTE,MSI,2019 Price list,20-Feb-17,,,
ADELLA GRIS 12X24 SATIN,NADEGRI1224,12x24,MATTE,0.39 INCH,2.00,7.00,14.00,SQFT,2.69,5.38,,NADEGRI1224,https://www.msisurfaces.com/ceramic-mosaics/adella-gris-12x24-satin/,PT,CERAMIC,BACKSPLASH/WALL TILE/DECORATIVE MOSAICS,ADELLA GRIS 12X24 SATIN,ADELLA GRIS 12X24 SATIN MATTE,MSI,2019 Price list,20-Feb-17,,,
ADELLA VISO CALACATTA SATIN,NADEVISCAL1224,12x24,MATTE,0.39 INCH,2.00,7.00,14.00,SQFT,2.69,5.38,,NADEVISCAL1224,https://www.msisurfaces.com/3d-large-format-wall-tile/adella-viso-calacatta-12x24-satin/,PT,CERAMIC,BACKSPLASH/WALL TILE/DECORATIVE MOSAICS,ADELLA VISO CALACATTA SATIN,ADELLA VISO CALACATTA 12X24 SATIN MATTE,MSI,2019 Price list,20-Feb-17,,,
ADELLA VISO GRIS SATIN,NADEVISGRI1224,12x24,MATTE,0.39 INCH,2.00,7.00,14.00,SQFT,2.69,5.38,,NADEVISGRI1224,https://www.msisurfaces.com/3d-large-format-wall-tile/adella-viso-gris-12x24-satin/,PT,CERAMIC,BACKSPLASH/WALL TILE/DECORATIVE MOSAICS,ADELLA VISO GRIS SATIN,ADELLA VISO GRIS 12X24 SATIN MATTE,MSI,2019 Price list,20-Feb-17,,,
ADELLA VISO WHITE SATIN,NADEVISWHI1224,12x24,MATTE,0.39 INCH,2.00,7.00,14.00,SQFT,2.69,5.38,,NADEVISWHI1224,https://www.msisurfaces.com/3d-large-format-wall-tile/adella-viso-white-12x24-satin/,PT,CERAMIC,BACKSPLASH/WALL TILE/DECORATIVE MOSAICS,ADELLA VISO WHITE SATIN,ADELLA VISO WHITE 12X24 SATIN MATTE,MSI,2019 Price list,20-Feb-17,,,
ADELLA WHITE 12X24 SATIN,NADEWHI1224,12x24,MATTE,0.39 INCH,2.00,7.00,14.00,SQFT,2.69,5.38,,NADEWHI1224,https://www.msisurfaces.com/ceramic-mosaics/adella-white-12x24-satin/,PT,CERAMIC,BACKSPLASH/WALL TILE/DECORATIVE MOSAICS,ADELLA WHITE 12X24 SATIN,ADELLA WHITE 12X24 SATIN MATTE,MSI,2019 Price list,20-Feb-17,,,
AKAYA COPPER INTERLOCKING,SMOT-GLSIL-AKACOP8MM,PATTERN,MISC.,0.31 INCH,0.98,10.00,9.80,EACH,12.15,12.15,,SMOT-GLSIL-AKACOP8MM,https://www.msisurfaces.com/glass-mosaics/akaya-copper-interlocking-8mm/,MD,GLASS,BACKSPLASH/WALL TILE/DECORATIVE MOSAICS,AKAYA COPPER INTERLOCKING,Akaya Copper Interlocking 8mm,MSI,2019 Price list,23-Feb-17,,,
AKAYA NERO INTERLOCKING,SMOT-GLSIL-AKANER8MM,PATTERN,MISC.,0.31 INCH,0.98,10.00,9.80,EACH,12.15,12.15,,SMOT-GLSIL-AKANER8MM,https://www.msisurfaces.com/glass-mosaics/akaya-nero-interlocking-8mm/,MD,GLASS,BACKSPLASH/WALL TILE/DECORATIVE MOSAICS,AKAYA NERO INTERLOCKING,Akaya Nero Interlocking 8mm,MSI,2019 Price list,23-Feb-17,,,
