SKU,Description,Ridgefield latte,Oxford latte,Ridgefield pastel,Oxford Pastel,,,,,,,
3012,"12"" High Wall Cabinet",240,252,240,252,,,,,,B,
3612,"12"" High Wall Cabinet",280,294,280,294,,,,,,B,
2115,"15"" High Wall Cabinet",238,250,238,250,,,,,,B,
2415,"15"" High Wall Cabinet",244,257,244,257,,,,,,B,
3015,"15"" High Wall Cabinet",253,267,253,267,,,,,,B,
3315,"15"" High Wall Cabinet",285,299,285,299,,,,,,B,
3615,"15"" High Wall Cabinet",309,325,309,325,,,,,,B,
2118,"18"" High Wall Cabinet",270,284,270,284,,,,,,B,
2418,"18"" High Wall Cabinet",279,293,279,293,,,,,,B,
3018,"18"" High Wall Cabinet",288,303,288,303,,,,,,B,
3318,"18"" High Wall Cabinet",329,346,329,346,,,,,,B,
3618,"18"" High Wall Cabinet",345,363,345,363,,,,,,B,
2424,"24"" High Wall Cabinet",309,325,309,325,,,,,,B,
3024,"24"" High Wall Cabinet",333,350,333,350,,,,,,B,
3324,"24"" High Wall Cabinet",370,389,370,389,,,,,,B,
3624,"24"" High Wall Cabinet",382,401,382,401,,,,,,B,
3015x24,"24"" Deep Wall Cabinet",393,414,393,414,,,,,,B,
3315x24,"24"" Deep Wall Cabinet",414,435,414,435,,,,,,B,
3615x24,"24"" Deep Wall Cabinet",466,489,466,489,,,,,,B,
3018x24,"24"" Deep Wall Cabinet",413,434,413,434,,,,,,B,
3318x24,"24"" Deep Wall Cabinet",429,450,429,450,,,,,,B,
3618x24,"24"" Deep Wall Cabinet",477,501,477,501,,,,,,B,
3024x24,"24"" Deep Wall Cabinet",445,468,445,468,,,,,,B,
3324x24,"24"" Deep Wall Cabinet",468,491,468,491,,,,,,B,
3624x24,"24"" Deep Wall Cabinet",530,556,530,556,,,,,,B,
930,"30"" High Wall Cabinet",201,212,201,212,,,,,,B,
1230,"30"" High Wall Cabinet",217,228,217,228,,,,,,B,
1530,"30"" High Wall Cabinet",250,264,250,264,,,,,,B,
1830,"30"" High Wall Cabinet",273,287,273,287,,,,,,B,
2130,"30"" High Wall Cabinet",297,313,297,313,,,,,,B,
2430,"30"" High Wall Cabinet",328,345,328,345,,,,,,B,
2730,"30"" High Wall Cabinet",371,390,371,390,,,,,,B,
3030,"30"" High Wall Cabinet",386,405,386,405,,,,,,B,
3330,"30"" High Wall Cabinet",411,432,411,432,,,,,,B,
3630,"30"" High Wall Cabinet",427,448,427,448,,,,,,B,
3930,"30"" High Wall Cabinet",456,480,456,480,,,,,,B,
4230,"30"" High Wall Cabinet",532,559,532,559,,,,,,B,
4830,"30"" High Wall Cabinet",623,654,623,654,,,,,,B,
6030,"30"" High Wall Cabinet",737,775,737,775,,,,,,B,
6030-O,"30"" High Wall Combo Cabinet",680,714,680,714,,,,,,B,
CW2430,"30"" High Corner Wall cabinet",596,627,596,627,,,,,,B,
BLW24/2730,"30"" High Blind Wall cabinet",384,403,384,403,,,,,,B,
BLW30/3330,"30"" High Blind Wall cabinet",416,437,416,437,,,,,,B,
BLW36/3930,"30"" High Blind Wall cabinet",472,496,472,496,,,,,,B,
GD1230,"30"" High Glass Door",97,102,97,102,,,,,,B,
GD1530,"30"" High Glass Door",121,127,121,127,,,,,,B,
GD1830,"30"" High Glass Door",145,153,145,153,,,,,,B,
GD2430,"30"" High Glass Door",194,204,194,204,,,,,,B,
GD3030,"30"" High Glass Door",241,253,241,253,,,,,,B,
GD3630,"30"" High Glass Door",290,306,290,306,,,,,,B,
GDCW2430,"30"" High Corner Wall Glass Door",128,135,128,135,,,,,,B,
936,"36"" High Wall Cabinet",231,243,231,243,,,,,,B,
1236,"36"" High Wall Cabinet",263,276,263,276,,,,,,B,
1536,"36"" High Wall Cabinet",283,297,283,297,,,,,,B,
1836,"36"" High Wall Cabinet",330,347,330,347,,,,,,B,
2136,"36"" High Wall Cabinet",352,371,352,371,,,,,,B,
2436,"36"" High Wall Cabinet",392,413,392,413,,,,,,B,
2736,"36"" High Wall Cabinet",429,450,429,450,,,,,,B,
3036,"36"" High Wall Cabinet",441,464,441,464,,,,,,B,
3336,"36"" High Wall Cabinet",505,531,505,531,,,,,,B,
3636,"36"" High Wall Cabinet",547,575,547,575,,,,,,B,
3936,"36"" High Wall Cabinet",818,859,818,859,,,,,,B,
CW2436,"36"" High Corner Wall cabinet",662,696,662,696,,,,,,B,
CW2736,"36"" High Corner Wall cabinet",689,725,689,725,,,,,,B,
BLW24/2736,"36"" High Blind Wall cabinet",514,540,514,540,,,,,,B,
