ghi,Code,Desc,List Price
,GW0930SDC,GH W0930  SEDONA CHESTNUT, $158.00 
,GW1230SDC,GH W1230 SEDONA CHESTNUT, $185.00 
,GW1530SDC,GH W1530 SEDONA CHESTNUT, $199.00 
,GW1830SDC,GH W1830 SEDONA CHESTNUT, $233.00 
,GW2130SDC,GH W2130 SEDONA CHESTNUT, $246.00 
,GW2430SDC,GH W2430 SEDONA CHESTNUT, $282.00 
,GW2730SDC,GH W2730 SEDONA CHESTNUT, $309.00 
,GW3030SDC,GH W3030 SEDONA CHESTNUT, $312.00 
,GW3330SDC,GH W3330 SEDONA CHESTNUT, $334.00 
,GW3630SDC,GH W3630 SEDONA CHESTNUT, $356.00 
,GWAC2430SDC,GH WAC2430 SEDONA CHESTNUT, $362.00 
,GWBC2730SDC,GH WBC2730 SEDONA CHESTNUT, $311.00 
,GWDC2430SDC,GH WDC2430 SEDONA CHESTNUT, $348.00 
,GW3012SDC,GH W3012 SEDONA CHESTNUT, $168.00 
,GW3612SDC,GH W3612 SEDONA CHESTNUT, $185.00 
,GW2415SDC,GH W2415 SEDONA CHESTNUT, $185.00 
,GW3015SDC,GH W3015 SEDONA CHESTNUT, $200.00 
,GW3315SDC,GH W3315 SEDONA CHESTNUT, $217.00 
,GW3615SDC,GH W3615 SEDONA CHESTNUT, $217.00 
,GW3018SDC,GH W3018 SEDONA CHESTNUT, $208.00 
,GW3618SDC,GH W3618 SEDONA CHESTNUT, $249.00 
,GW3024SDC,GH W3024 SEDONA CHESTNUT, $320.00 
,GW3624SDC,GH W3624 SEDONA CHESTNUT, $367.00 
,GW331224SDC,GH W331224 SEDONA CHESTNUT, $247.00 
,GW361224SDC,GH W361224 SEDONA CHESTNUT, $272.00 
,GW331524SDC,GH W331524 SEDONA CHESTNUT, $251.00 
,GW361524SDC,GH W361524 SEDONA CHESTNUT, $263.00 
,GW361824SDC,GH W361824 SEDONA CHESTNUT, $319.00 
,GW332424SDC,GH W332424 SEDONA CHESTNUT, $329.00 
,GW362424SDC,GH W362424 SEDONA CHESTNUT, $359.00 
,GW0936SDC,GH W0936 SEDONA CHESTNUT, $181.00 
,GW1236SDC,GH W1236 SEDONA CHESTNUT, $212.00 
,GW1536SDC,GH W1536 SEDONA CHESTNUT, $229.00 
,GW1836SDC,GH W1836 SEDONA CHESTNUT, $268.00 
,GW2136SDC,GH W2136 SEDONA CHESTNUT, $282.00 
,GW2436SDC,GH W2436 SEDONA CHESTNUT, $324.00 
,GW2736SDC,GH W2736 SEDONA CHESTNUT, $356.00 
,GW3036SDC,GH W3036 SEDONA CHESTNUT, $359.00 
,GW3336SDC,GH W3336 SEDONA CHESTNUT, $384.00 
,GW3636SDC,GH W3636 SEDONA CHESTNUT, $409.00 
,GWAC2436SDC,GH WAC2436 SEDONA CHESTNUT, $421.00 
,GWDC2436SDC,GH WDC2436 SEDONA CHESTNUT, $395.00 
,GW0942SDC,GH W0942 SEDONA CHESTNUT, $205.00 
,GW1242SDC,GH W1242 SEDONA CHESTNUT, $240.00 
,GW1542SDC,GH W1542 SEDONA CHESTNUT, $259.00 
,GW1842SDC,GH W1842 SEDONA CHESTNUT, $303.00 
,GW2142SDC,GH W2142 SEDONA CHESTNUT, $319.00 
,GW2442SDC,GH W2442 SEDONA CHESTNUT, $366.00 
,GW2742SDC,GH W2742 SEDONA CHESTNUT, $402.00 
,GW3042SDC,GH W3042 SEDONA CHESTNUT, $406.00 
,GW3342SDC,GH W3342 SEDONA CHESTNUT, $434.00 
,GW3642SDC,GH W3642 SEDONA CHESTNUT, $462.00 
,GWAC2442SDC,GH WAC2442 SEDONA CHESTNUT, $476.00 
,GWDC2442SDC,GHW WDC2442 SEDONA CHESTNUT, $453.00 
,GWDC2742SDC,GH WDC2742 SEDONA CHESTNUT, $509.00 
,GB09SDC,GH B09 SEDONA CHESTNUT (FULL HEIGHT), $231.00 
,GB12SDC,GH B12 SEDONA CHESTNUT, $258.00 
,GB15SDC,GH B15 SEDONA CHESTNUT, $263.00 
,GB18SDC,GH B18 SEDONA CHESTNUT, $287.00 
,GB21SDC,GH B21 SEDONA CHESTNUT, $322.00 
,GB24SDC,GH B24 SEDONA CHESTNUT, $361.00 
,GB27SDC,GH B27 SEDONA CHESTNUT, $405.00 
,GB30SDC,GH B30 SEDONA CHESTNUT, $430.00 
,GB33SDC,GH B33 SEDONA CHESTNUT, $452.00 
,GB36SDC,GH B36 SEDONA CHESTNUT, $474.00 
,GBBC42-45SDC,GH BBC42-45 SEDONA CHESTNUT, $444.00 
,GDB15SDC,GH DB15 SEDONA CHESTNUT, $434.00 
,GDB18SDC,GH DB18 SEDONA CHESTNUT, $442.00 
,GDB21SDC,GH DB21 SEDONA CHESTNUT, $456.00 
,GDB24SDC,GH DB24 SEDONA CHESTNUT, $464.00 
,GDB30SDC,GH DB30 SEDONA CHESTNUT, $476.00 
,GDCB3612SDC,GH DCB3612 SEDONA CHESTNUT, $758.00 
